status,category,subcategory,count,examples
BLOCKED_CONFLICT,dvigatel-i-transmissiya,detali-dvigatelya,11,ДВ-00106 Клапан рециркуляции Нива в сборе | ДВГ-00217 Ролик натяжителя ремня Газель | ДВГ-00482 Ролик натяжителя ремня УАЗ | ДВГ-00897 Ролик натяжной Газ-Евро-3 | ДВГ-00981 Ролик натяжной 405 дв. ЕВРО-3
BLOCKED_CONFLICT,elektrika,datchiki,7,ЭОГ-00793 Фишка с проводом датчика скорости | ДВГ-00759 Шланг мех. давления КАМАЗ (без датчика) | КГ-01389 Патрубок метал. под датчик д.45 | ЭО-00398 Фишка с проводом датчика кислорода (папа) | ЭО-00936 Фишка с проводом Калина (датчика масла)
BLOCKED_CONFLICT,dvigatel-i-transmissiya,remni,5,"А-00817 Ремни безопасности 2101-07 (2 шт) | А-01627 Ремни безопасности перед. 1118 | А-00035 Ремни безопасности (неинерционные) | А-00963 Ремни безопасности пер. 2108-014, 2110 | КР-00413 Ремни безопасности 2110"
BLOCKED_CONFLICT,elektrika,provodka,4,А-01545 Провод USB к iPhone 5 | А-01694 Провод USB micro-USB | А-01968 Провод USB TYPE-C | А-02000 Провод AUX в коробке
BLOCKED_CONFLICT,tormoznaya-sistema,tormoznye-kolodki,4,ОК-00006 ВР40003О7 Колодки тормозные дисковые | ИН-00736 Колодки тормозные дисковые зад. к-т KIA C | ТСГ-00689 Колодки тормозные Г-3302 NEXT зад. под диск. тормоза | ТСГ-00811 Колодки тормозные УАЗ-ПРОФИ зад. дисковые (4 шт к-т)
BLOCKED_CONFLICT,elektrika,akkumulyatory,3,ЭОГ-00885 Клемма аккумуляторных проводов (М10х35) | ЭОГ-00886 Клемма аккумуляторных проводов (М12х35) | ЭОГ-00887 Клемма аккумуляторных проводов (М12х50)
BLOCKED_CONFLICT,kuzov-i-optika,povtoriteli,3,"А-00750 Зеркало хромированное с поворотником 2105- | О-00347 Зеркало Газель (с поворотником и подогрево | О-00308 Зеркало ""Фольц"" ( с поворотником)"
BLOCKED_CONFLICT,kuzov-i-optika,zerkala,3,ЭО-01339 Колодка с проводом 6-ти контакт. зелёная (зеркало) | ЭО-01340 Колодка с проводом 6-ти контакт. черная (зеркало) | ЭО-01341 Колодка с проводом 9-ти контакт. белая (зеркало)
BLOCKED_CONFLICT,podveska,saylentbloki,3,"И-00004 Съемник сайлентблоков Ваз 01-07 | И-01892 Съёмник сайлентблоков поперечной тяги УАЗ Патриот, Хантер | И-02009 Съёмник зад. сайлентблоков ЛАДА Веста, XRAY, Ларгус"
BLOCKED_CONFLICT,dvigatel-i-transmissiya,ohlazhdenie,2,ДВ-00186 Диффузор салона 2105 | ИН-00864 Вентилятор салона Рено
BLOCKED_CONFLICT,elektrika,generatory,2,И-00621 Съёмник подшипника генератора 2101-08 | ЭО-00342 Сайлентблок генератора 2101-08
BLOCKED_CONFLICT,kuzov-i-optika,obves-i-dekor,2,КЗ-01041 Накладка порога Г-33104 Валдай лев. пласт | ОК-00119 Накладка порога декор. без арок
BLOCKED_CONFLICT,podveska,amortizatory,2,ХСГ-00623 Сайлентблок Г-3302 NEXT перед. амортиз. | ХСГ-01243 Сайлентблок Г-3302 NEXT еред. амортиз. в
BLOCKED_CONFLICT,aksessuary,instrumenty,1,И-00692 Ключ свечной карданный с пружиной *16 500м
BLOCKED_CONFLICT,kuzov-i-optika,fary,1,А-00605 Защита фар Газель (новая фара)
